Timestamp,Please select your age range,Which best describes the environment you spent the most time growing up in?,How would you describe your worldview or spiritual orientation?,Which category best describes your primary daily activity? ,Do you regularly engage in any of the following practices?,"Including yourself, how many people live in your household?",What is your assigned gender at birth? ,What is your current gender identity? ,What is your highest completed degree?,What is your current income bracket?,What describes your socioeconomic status growing up? ,What college do you attend?,I regularly notice beauty around me.,I stay open to someone’s opinion even when it differs from mine.,I have a lot of intellectual curiosity. ,"I am drawn to experiences, ideas, and sensations that are unfamiliar or challenge my current way of seeing the world.",I prefer routine and spending time with people who think similarly to myself.,Do people ever describe you as lost in thought?,"I can become deeply absorbed in nature, music, art, beliefs, or ideas.",I sometimes become so involved in a piece of music or art that I lose all sense of time and my surroundings.,I tend to have intense or vivid dreams.,My dreams tend to be more associated with nightmares or stress.,I can remember my dreams when I wake up in the morning.,I do not become absorbed in stimuli or surroundings.,"To confirm you are paying attention, please select number 3 for this question. ",Have you ever been moved in a way that evokes strong emotional memories?,"Have you ever been moved to tears, emotionally touched, stirred or experienced something that warmed your heart?",Do you experience moments that make you feel deeply connected with nature?,Do you experience moments that make you feel deeply connected with the people around you?,I do not feel deep connections to the world or people around me.,I enjoy volunteering or serving others in my community.,"I am easily and often moved by the beauty, humor, and goodness I encounter in everyday life.","I do not often feel joy, contentment, amusement, compassion, and pride.",I feel part of a much larger whole.,I do not often experience powerful feelings connected to the greater world around me.,"I notice physical sensations in my body when I experience emotions (e.g., tension, breathing/heart rate changes, etc.)","Even when I feel intense physical sensations, I feel that my body is in a safe and trustworthy place.",I listen to my body for information to help me understand how I am truly feeling about a situation.,I notice how my breathing becomes free and easy when I feel comfortable.,My emotions do not trigger physical responses.,I take stock in my thoughts and emotions without getting overwhelmed by them.,I am aware of my body sensations and breathing in response to situations and things happening around me.,"When stressed, I focus on calming or seek awe experiences for relief.",I listen to my body during stressful or triggering situations before responding.,I believe in trusting my hunches.,How frequently do you experience Deja Vu? ,I prefer concrete facts over abstract theories.,I have had the experience of suddenly knowing something to be true without being able to explain how I gained that information. ,I tend to notice coincidence or synchronicities often. ,"When I meditate, pray, or engage in spiritual or religious practices, I feel deeply connected to something or someone greater than myself.",I believe life has a deeper meaning or purpose.,I consider myself highly engaged with routine spiritual practices.,I do not consider myself religious or spiritual.,I see myself as resilient and able to handle challenges.,"When things go wrong, it’s usually someone else’s fault.",Challenges cause me to feel overwhelmed and stuck.,How strongly do you believe in meaningful coincidences?,"Do you believe in universal energy such as chakras, kundalini, etc?",How strongly do you believe in a God or divine being?,"Do you believe in souls, spirits, or unseen beings?",How strongly do you believe in karma or moral causation? ,"During powerful experiences, my awareness of myself fades into the background.","During powerful moments, I have the physical sensation that my body is shrinking or becoming very small in relation to the world around me.","During powerful moments, I feel that time is slowing down or speeding up.",Emotional or inspiring experiences give me chills or goosebumps.,"I can give myself chills or goosebumps with no external stimuli (such as music, cold temperature, or emotional videos).",How often are you able to produce chills without external stimuli?
4/17/2026 19:15:29,19-21,Highly urban,Religious/Theistic,Extracurricular Activities,Artistic Creation,3-5,Male,Male,Undergraduate,0-50K,Upper middle class,Seattle University,5,3,4,4,5,4,4,2,3,1,3,1,3,3,2,2,5,2,3,3,1,3,2,,4,4,1,2,2,3,3,3,4,4,3,3,3,4,4,3,2,4,2,3,Strong belief,Slight belief,Very strong belief,Very strong belief,Strong belief,1,1,1,4,Yes,Rarely
4/17/2026 19:16:05,19-21,Suburban,Agnostic/Secular,Student Clubs,"Artistic Creation, Regular Immersion in Nature",3-5,Male,Male,AA,0-50K,Middle class,University of Washington,4,4,3,4,3,3,4,2,2,3,3,3,3,4,4,4,4,3,5,4,2,5,4,3,4,4,2,2,2,,4,3,4,4,3,2,4,3,5,2,2,4,3,3,Strong belief,Strong belief,Slight belief,Moderate belief,Moderate belief,2,3,3,4,Not Sure,Sometimes
4/17/2026 19:18:06,19-21,Highly urban,Atheist/Naturalist,Studying,None,3-5,Female,Female,Undergraduate,0-50K,Upper middle class,University of Washington,5,4,4,3,4,3,2,3,4,3,4,1,3,4,4,3,3,2,3,3,1,4,4,5,3,2,5,1,2,3,3,2,5,4,4,5,5,2,4,3,4,4,2,4,Strong belief,Moderate belief,Slight belief,Moderate belief,Moderate belief,4,4,4,5,Not Sure,
4/17/2026 19:18:33,19-21,Suburban,Religious/Theistic,Studying,Meditation/Mindfulness,3-5,Male,Male,High school Diploma,0-50K,Low middle class,University of Washington,4,3,5,4,4,4,3,3,4,3,5,2,3,5,4,3,5,2,4,3,2,5,4,4,3,3,4,3,4,3,4,3,4,5,3,2,3,4,4,3,1,4,2,2,Strong belief,Slight belief,Very strong belief,Moderate belief,Moderate belief,4,4,3,4,Not Sure,Sometimes
4/17/2026 19:19:13,17-18,Suburban,Spiritual but not Religious,Studying,Artistic Creation,6+,Female,Female,AA,0-50K,Low middle class,University of Washington,5,3,3,4,5,1,3,2,1,4,3,2,3,2,3,3,2,3,5,5,3,5,2,4,3,4,5,2,2,2,3,3,2,1,1,3,3,4,4,3,2,4,4,3,Moderate belief,Slight belief,Not at all,Slight belief,Moderate belief,3,2,4,3,No,Rarely
4/17/2026 19:20:22,17-18,Suburban,Agnostic/Secular,Social Events,Artistic Creation,3-5,Female,Female,AA,0-50K,Upper middle class,University of Washington,4,4,5,5,2,2,4,2,4,5,4,2,3,5,4,3,3,4,5,4,1,2,2,4,2,2,4,2,2,2,4,3,2,4,4,2,2,1,2,1,5,4,2,3,Not at all,Not at all,Not at all,Not at all,Not at all,1,1,3,4,Yes,Never
4/17/2026 19:23:02,19-21,Suburban,Religious/Theistic,Studying,None,3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,3,3,3,3,3,4,3,3,4,4,3,3,4,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,Strong belief,Strong belief,Strong belief,Strong belief,Moderate belief,4,4,4,4,No,Sometimes
4/17/2026 19:25:29,19-21,Suburban,Atheist/Naturalist,Studying,None,3-5,Female,Female,High school Diploma,0-50K,Middle class,University of Washington,4,4,4,4,4,2,4,4,5,5,3,2,3,5,5,5,5,5,5,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,4,Moderate belief,Moderate belief,Slight belief,Slight belief,Very strong belief,3,1,1,5,Yes,Rarely
4/17/2026 19:25:41,19-21,Rural/Remote,Atheist/Naturalist,Studying,Artistic Creation,3-5,Female,Female,High school Diploma,0-50K,Low middle class,University of Washington,1,4,5,4,5,5,5,5,5,3,4,2,3,5,5,4,5,1,4,5,1,5,1,2,3,5,4,4,4,4,4,4,5,5,3,5,5,1,3,1,5,5,4,2,Moderate belief,Slight belief,Not at all,Moderate belief,Moderate belief,2,2,3,3,Yes,Sometimes
4/17/2026 19:26:17,19-21,Suburban,Atheist/Naturalist,Extracurricular Activities,Meditation/Mindfulness,6+,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,5,5,5,5,4,3,5,5,5,2,5,2,3,4,5,5,5,1,4,5,1,5,1,5,5,5,5,2,3,4,5,5,4,4,3,3,5,3,5,2,3,5,2,2,Strong belief,Slight belief,Slight belief,Moderate belief,Slight belief,3,3,3,3,Not Sure,Sometimes
4/17/2026 19:26:20,19-21,Suburban,Religious/Theistic,Extracurricular Activities,Meditation/Mindfulness,3-5,Female,Female,GED,0-50K,Middle class,University of Washington,4,5,5,5,5,2,4,5,2,1,3,2,3,5,5,5,5,1,5,5,1,4,1,3,3,4,4,4,4,4,4,5,3,3,3,4,5,4,5,3,2,5,1,2,Very strong belief,Slight belief,Slight belief,Moderate belief,Strong belief,2,3,5,4,No,
4/17/2026 19:27:15,22-24,Suburban,Agnostic/Secular,Extracurricular Activities,"Meditation/Mindfulness, Breath work",3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,4,4,5,4,3,3,4,3,1,3,2,3,3,4,3,4,4,2,5,4,2,4,3,2,2,2,3,3,2,2,1,2,2,2,4,2,4,2,4,1,5,4,2,4,Slight belief,Not at all,Not at all,Not at all,Not at all,3,2,4,4,No,Rarely
4/17/2026 19:27:48,19-21,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Yoga/Martial Arts, Regular Immersion in Nature",3-5,Female,Female,Undergraduate,100K+,Upper middle class,University of Washington,4,3,4,3,4,2,3,3,1,1,2,2,3,5,5,5,5,1,5,5,5,4,3,3,4,3,5,2,5,5,4,4,5,5,4,2,5,4,5,2,1,5,2,3,Moderate belief,Not at all,Strong belief,Not at all,Slight belief,2,2,1,3,No,Never
4/17/2026 19:27:55,19-21,Rural/Remote,Religious/Theistic,Student Clubs,None,6+,Female,Female,Undergraduate,0-50K,Low middle class,University of Washington,3,4,4,4,3,4,2,2,4,2,4,2,3,4,5,3,3,1,4,3,2,3,2,4,3,4,2,2,2,3,2,3,4,3,3,4,4,3,3,2,2,4,3,3,Strong belief,Not at all,Strong belief,Moderate belief,Strong belief,3,3,4,4,Not Sure,Rarely
4/17/2026 19:29:12,19-21,Suburban,Atheist/Naturalist,Studying,None,3-5,Male,Male,High school Diploma,0-50K,Upper middle class,University of Washington,4,4,4,4,4,4,3,3,4,2,4,2,3,4,4,4,4,2,4,3,2,3,2,4,3,4,4,2,4,4,4,3,4,2,5,5,3,2,3,1,4,4,3,2,Moderate belief,Not at all,Not at all,Slight belief,Not at all,2,1,4,3,Not Sure,Rarely
4/17/2026 19:30:55,19-21,Rural/Remote,Religious/Theistic,Studying,None,3-5,Female,Female,AA,50-70K,Middle class,University of Washington,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Moderate belief,Slight belief,Strong belief,Moderate belief,Moderate belief,3,3,,,,Sometimes
4/17/2026 19:31:17,19-21,Suburban,Religious/Theistic,Extracurricular Activities,"Meditation/Mindfulness, Breath work",3-5,Female,Female,Undergraduate,0-50K,Low middle class,University of Washington,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Moderate belief,Moderate belief,Moderate belief,Moderate belief,Moderate belief,3,3,3,3,Not Sure,
4/17/2026 19:32:34,19-21,Suburban,Spiritual but not Religious,Studying,None,6+,Male,Male,High school Diploma,0-50K,Low middle class,Seattle central,4,4,4,4,4,5,4,4,,2,2,,3,,3,3,4,2,4,4,3,,3,4,,3,4,3,3,,4,2,3,3,3,4,4,3,5,4,2,3,2,4,,Not at all,Moderate belief,Slight belief,,,,,,,
4/17/2026 19:33:19,17-18,Suburban,Religious/Theistic,Studying,Yoga/Martial Arts,6+,Male,Male,High school Diploma,0-50K,Middle class,University of Washington,4,5,4,4,3,3,3,2,2,1,3,3,3,5,3,3,4,2,5,4,1,4,1,4,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,4,2,4,3,2,Strong belief,Moderate belief,Moderate belief,Not at all,Slight belief,2,2,2,2,Yes,Rarely
4/17/2026 19:33:46,19-21,Rural/Remote,Religious/Theistic,Studying,"Meditation/Mindfulness, Regular Immersion in Nature",6+,Female,Female,High school Diploma,0-50K,Low middle class,University of Washington,5,4,4,3,4,1,3,4,2,1,3,3,3,3,4,4,3,4,5,5,1,4,1,4,3,3,3,4,3,4,5,5,4,2,4,2,3,5,5,5,1,5,1,3,Moderate belief,Not at all,Very strong belief,Strong belief,Not at all,3,1,3,4,Not Sure,Sometimes
4/17/2026 19:34:11,19-21,Suburban,Spiritual but not Religious,Studying,Artistic Creation,6+,Female,Female,AA,0-50K,Upper middle class,University of Washington,4,4,3,3,3,2,3,2,3,2,3,2,3,4,4,2,5,1,4,5,1,5,3,5,3,4,3,3,3,4,3,3,4,3,3,2,3,3,4,3,2,3,2,4,Strong belief,Moderate belief,Strong belief,Strong belief,Moderate belief,4,3,3,4,Not Sure,Rarely
4/17/2026 19:34:52,19-21,Suburban,Religious/Theistic,Student Clubs,"Breath work, Regular Immersion in Nature",6+,Female,Female,High school Diploma,0-50K,Poverty,University of Washington,5,4,5,5,4,5,5,3,2,3,3,3,3,4,5,5,5,1,4,4,2,5,2,4,2,2,4,3,3,4,4,4,4,3,4,4,4,4,4,2,2,5,2,2,Strong belief,Strong belief,Very strong belief,Very strong belief,Very strong belief,5,2,5,5,Yes,Often
4/17/2026 19:35:14,19-21,Suburban,Religious/Theistic,Studying,"Meditation/Mindfulness, Regular Immersion in Nature",3-5,Female,Female,High school Diploma,100K+,Upper middle class,University of Washington,4,4,4,4,4,3,3,3,4,4,3,2,3,4,4,4,4,2,5,5,2,4,2,4,3,3,3,2,2,3,3,3,5,4,3,3,4,3,4,2,3,3,2,3,Strong belief,Moderate belief,Moderate belief,Slight belief,Moderate belief,3,3,3,4,Not Sure,Rarely
4/17/2026 19:35:54,19-21,Rural/Remote,Religious/Theistic,Studying,None,6+,Female,Female,Undergraduate,0-50K,Low middle class,University of Washington,4,3,3,3,4,3,4,5,4,3,4,3,3,5,5,5,5,1,5,5,2,4,2,5,4,5,5,3,2,3,4,3,4,5,2,4,3,5,5,4,1,5,3,5,Very strong belief,Slight belief,Very strong belief,Strong belief,Strong belief,4,5,5,5,Not Sure,Rarely
4/17/2026 19:38:28,19-21,Suburban,Atheist/Naturalist,Extracurricular Activities,None,3-5,Female,Female,Undergraduate,0-50K,Upper middle class,University of Washington,4,3,5,4,4,4,4,4,4,2,4,2,3,4,4,4,4,2,3,4,2,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,2,3,Strong belief,Slight belief,Slight belief,Moderate belief,Strong belief,3,4,4,4,No,Never
4/17/2026 19:39:34,19-21,Rural/Remote,Religious/Theistic,Studying,Meditation/Mindfulness,3-5,Female,Female,High school Diploma,0-50K,Low middle class,University of Washington,5,5,3,3,3,2,4,2,2,2,4,2,3,4,4,4,4,1,5,5,1,5,2,2,4,4,5,4,1,4,4,4,4,2,3,3,3,3,2,2,3,3,2,4,Slight belief,Not at all,Moderate belief,Slight belief,Slight belief,3,2,2,2,Yes,Rarely
4/17/2026 19:40:19,22-24,Suburban,Spiritual but not Religious,Social Events,"Meditation/Mindfulness, Yoga/Martial Arts, Artistic Creation",3-5,Female,Female,Undergraduate,100K+,Middle class,University of Washington,5,2,2,4,4,3,4,2,5,5,5,3,3,3,2,3,5,2,5,2,2,2,2,2,2,3,3,3,1,2,2,1,5,5,5,5,2,2,3,4,3,4,2,3,Strong belief,Strong belief,Moderate belief,Very strong belief,Very strong belief,3,1,1,3,No,Never
4/17/2026 19:42:31,25-30,Highly urban,Religious/Theistic,Work,None,3-5,Male,Male,Graduate,70-90K,Poverty,University of Washington,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Moderate belief,Slight belief,Very strong belief,Strong belief,Strong belief,4,4,4,4,Yes,Often
4/17/2026 19:44:53,19-21,Suburban,Religious/Theistic,Student Clubs,"Meditation/Mindfulness, Regular Immersion in Nature",6+,Female,Female,High school Diploma,0-50K,Middle class,University of Washington,5,4,4,3,4,2,4,2,2,1,2,3,3,4,4,4,4,1,4,4,2,4,2,4,3,4,4,1,3,3,5,4,3,3,4,4,4,3,5,4,1,4,2,2,Strong belief,Not at all,Very strong belief,Moderate belief,Moderate belief,3,2,4,5,No,Rarely
4/17/2026 19:45:19,25-30,Rural/Remote,Other,Work,None,3-5,Male,Male,Undergraduate,50-70K,Low middle class,University of Washington,5,5,5,5,5,3,4,5,5,5,5,1,3,5,5,5,5,1,5,5,1,5,1,5,5,5,5,1,5,5,5,5,3,4,5,4,5,5,5,5,3,5,2,4,Strong belief,Moderate belief,Moderate belief,Moderate belief,Very strong belief,3,3,4,4,Yes,Rarely
4/17/2026 19:46:03,19-21,Suburban,Religious/Theistic,Extracurricular Activities,Artistic Creation,3-5,Female,Female,High school Diploma,0-50K,Middle class,University of Washington,4,4,4,4,4,3,4,4,2,3,2,3,3,2,4,3,4,1,5,4,1,5,2,3,3,3,2,3,3,3,3,3,3,3,4,3,3,2,4,2,3,4,3,4,Moderate belief,Slight belief,Moderate belief,Slight belief,Moderate belief,2,2,2,3,Not Sure,Rarely
4/17/2026 19:49:57,19-21,Suburban,Agnostic/Secular,Student Clubs,None,3-5,Female,Female,High school Diploma,0-50K,Low middle class,University of Washington,5,1,5,3,4,2,2,2,1,2,2,2,3,2,4,2,2,2,3,4,2,4,2,4,4,2,3,2,3,2,2,2,3,2,4,2,2,2,4,2,4,2,3,2,Slight belief,Slight belief,Slight belief,Slight belief,Slight belief,2,2,2,4,No,Never
4/18/2026 10:27:21,31-37,Highly urban,Atheist/Naturalist,Social Events,None,2,Female,Female,Graduate,100K+,Upper middle class,"Sharif University of Technology (Tehran, Iran)",3,4,5,5,3,2,3,2,3,5,3,4,,4,4,3,4,2,5,4,4,3,3,4,3,4,5,2,2,4,3,1,1,1,4,1,1,1,1,1,5,4,2,3,Not at all,Not at all,Not at all,Not at all,Not at all,2,2,4,3,No,Rarely
4/18/2026 10:37:20,25-30,Highly urban,Religious/Theistic,Studying,None,3-5,Female,Female,Graduate,0-50K,Middle class,University of Washington,4,5,5,5,3,5,5,3,3,2,4,4,3,5,5,5,2,4,3,5,1,1,4,5,3,4,2,2,3,3,1,2,3,3,5,3,2,1,3,1,2,5,1,1,Not at all,Slight belief,Slight belief,Slight belief,Strong belief,5,1,5,4,Not Sure,Never
4/19/2026 12:29:57,19-21,Suburban,Other,Extracurricular Activities,"Meditation/Mindfulness, Artistic Creation",3-5,Female,Female,High school Diploma,50-70K,Upper middle class,University of Washington,4,4,4,4,4,4,5,5,3,3,4,3,3,4,5,3,4,2,4,4,3,4,2,4,3,4,4,3,3,4,4,4,3,3,2,2,3,3,3,2,3,3,3,3,Strong belief,Slight belief,Moderate belief,Slight belief,Strong belief,2,2,2,3,Yes,Often
4/23/2026 11:50:13,22-24,Suburban,Spiritual but not Religious,Work,"Breath work, Regular Immersion in Nature",2,Female,Other,High school Diploma,0-50K,Upper middle class,University of Washington,5,4,5,5,4,3,5,4,5,4,4,3,3,4,4,5,5,1,4,4,2,5,1,5,2,4,4,1,2,4,4,3,5,4,5,2,4,4,5,4,1,4,1,3,Very strong belief,Very strong belief,Slight belief,Strong belief,Moderate belief,3,3,3,4,Yes,Often
4/23/2026 12:53:33,17-18,Suburban,Atheist/Naturalist,Social Events,"Meditation/Mindfulness, Yoga/Martial Arts, Regular Immersion in Nature",3-5,Female,Female,High school Diploma,0-50K,Upper middle class,University of Washington,5,5,4,5,2,4,4,2,5,4,4,1,3,5,4,5,5,5,3,5,1,5,2,5,5,3,5,1,4,2,5,3,4,5,3,5,3,2,5,1,5,4,2,3,Slight belief,Not at all,Not at all,Slight belief,Moderate belief,3,3,4,5,Not Sure,Rarely
4/23/2026 16:42:22,19-21,Suburban,Religious/Theistic,Student Clubs,Artistic Creation,3-5,Female,Female,High school Diploma,,Middle class,University of Oregon,4,4,3,3,5,2,4,3,5,4,4,2,3,3,4,4,4,1,5,4,1,4,2,3,4,3,4,4,3,2,3,3,3,3,3,4,3,5,4,2,1,4,4,3,Slight belief,Not at all,Very strong belief,Moderate belief,Slight belief,2,2,2,4,No,Rarely
4/24/2026 12:31:53,19-21,Suburban,Spiritual but not Religious,Studying,"Artistic Creation, Regular Immersion in Nature",2,Female,Other,High school Diploma,70-90K,Upper middle class,University of Washington,5,4,5,3,4,4,5,5,2,3,3,2,3,3,3,3,3,1,4,5,1,4,1,4,3,1,1,2,2,2,2,2,4,3,3,3,3,3,3,1,4,4,2,5,Strong belief,Slight belief,Moderate belief,Moderate belief,Moderate belief,3,2,2,5,No,Never
4/29/2026 22:59:50,25-30,Highly urban,Spiritual but not Religious,Work,Regular Immersion in Nature,3-5,Female,Female,High school Diploma,0-50K,Poverty,None,5,3,5,5,3,5,4,4,2,5,3,2,3,3,4,3,3,1,2,5,4,2,2,5,4,4,5,1,3,4,4,3,5,3,3,2,3,4,3,2,1,5,2,3,Strong belief,Strong belief,Not at all,Moderate belief,Very strong belief,2,1,1,3,Not Sure,Rarely
4/29/2026 23:02:55,25-30,Suburban,Agnostic/Secular,Work,None,3-5,Female,Female,Undergraduate,50-70K,Low middle class,University of Washington,4,3,4,4,3,4,4,4,5,3,5,2,3,4,5,4,5,1,4,4,3,5,1,3,3,2,2,1,1,3,2,1,3,2,2,3,4,2,3,1,2,3,2,3,Strong belief,Not at all,Moderate belief,Moderate belief,Strong belief,3,2,4,5,Not Sure,Sometimes
4/29/2026 23:18:54,22-24,Highly urban,Religious/Theistic,Studying,"Meditation/Mindfulness, Breath work",2,Male,Male,Graduate,70-90K,Middle class,University of Washington,5,4,5,5,5,3,1,1,1,1,1,1,3,4,3,5,5,1,4,5,1,5,3,5,5,5,5,2,3,3,3,4,4,3,5,4,4,3,5,2,3,5,1,3,Moderate belief,Moderate belief,Moderate belief,Moderate belief,Moderate belief,1,1,1,1,Yes,Rarely
4/29/2026 23:39:43,17-18,Rural/Remote,Religious/Theistic,Studying,None,3-5,Female,Female,High school Diploma,0-50K,Low middle class,,3,4,3,4,3,2,2,1,3,3,4,2,3,3,4,3,3,3,3,3,1,3,3,3,2,3,3,4,3,3,3,4,3,4,4,3,4,4,4,4,1,4,2,3,Strong belief,Not at all,Very strong belief,Moderate belief,Slight belief,3,2,2,2,No,Sometimes
4/29/2026 23:43:26,25-30,Suburban,Atheist/Naturalist,Extracurricular Activities,Meditation/Mindfulness,3-5,Male,Male,Undergraduate,0-50K,Low middle class,University of Washington,4,5,5,4,5,2,4,2,2,1,2,4,3,4,4,2,5,2,5,5,2,5,2,2,5,5,4,1,4,5,4,5,5,4,5,5,5,2,5,2,5,5,3,4,Strong belief,Not at all,Slight belief,Very strong belief,Very strong belief,4,4,4,4,No,Never
4/29/2026 23:48:02,25-30,Highly urban,Religious/Theistic,Work,Artistic Creation,3-5,Female,Female,Graduate,50-70K,Poverty,University of Washington,4,4,4,3,3,3,4,4,5,2,4,2,3,5,5,4,5,2,3,4,2,3,3,4,3,5,5,4,2,3,2,3,5,5,3,5,3,3,2,2,2,3,1,3,Strong belief,Moderate belief,Strong belief,Strong belief,Moderate belief,2,2,4,4,Yes,Sometimes
4/30/2026 0:32:31,25-30,Highly urban,Spiritual but not Religious,Social Events,"Meditation/Mindfulness, Artistic Creation, Regular Immersion in Nature",3-5,Female,Female,Undergraduate,0-50K,Low middle class,University of Washington,4,2,5,5,5,5,5,5,2,1,3,1,3,5,5,5,5,1,5,5,1,3,1,5,3,5,2,2,3,5,3,2,4,3,5,5,5,3,1,4,1,5,1,3,Very strong belief,Very strong belief,Not at all,Very strong belief,Moderate belief,3,1,2,5,No,Never
4/30/2026 6:04:02,25-30,Rural/Remote,Agnostic/Secular,Work,None,3-5,Male,Male,Undergraduate,50-70K,Low middle class,,2,4,4,4,4,2,2,1,3,4,2,2,3,2,2,2,3,3,3,2,2,3,2,4,3,3,4,2,3,2,2,2,3,4,4,4,4,1,1,1,5,4,2,4,Moderate belief,Not at all,Slight belief,Not at all,Slight belief,1,1,1,1,No,Sometimes
4/30/2026 6:59:01,22-24,Highly urban,Spiritual but not Religious,Work,Artistic Creation,2,Female,Female,Graduate,0-50K,Low middle class,University of Washington,4,2,4,4,5,1,4,4,3,1,4,2,3,4,5,4,4,1,4,4,1,2,1,4,2,5,4,3,2,3,1,2,4,2,4,2,4,1,5,2,3,4,2,3,Moderate belief,Slight belief,Strong belief,Strong belief,Slight belief,3,3,4,4,No,Rarely
4/30/2026 7:32:38,25-30,Suburban,Atheist/Naturalist,Studying,None,3-5,Female,Female,Undergraduate,0-50K,Low middle class,University of Washington,4,3,3,3,2,1,2,1,4,2,4,2,3,2,3,2,4,3,4,4,1,2,2,4,4,4,4,2,2,4,4,4,4,1,4,1,2,1,3,1,5,4,4,2,Slight belief,Not at all,Not at all,Not at all,Not at all,1,1,1,4,No,Never
4/30/2026 7:41:02,22-24,Highly urban,Agnostic/Secular,Work,Artistic Creation,2,Female,Female,Undergraduate,50-70K,Low middle class,University of Washington,5,4,5,4,4,2,5,3,1,2,2,3,3,5,5,4,5,1,4,5,1,4,2,4,3,3,3,2,4,2,4,2,2,4,4,2,2,3,3,1,4,4,2,2,Slight belief,Not at all,Not at all,Slight belief,Slight belief,2,2,2,4,Not Sure,Never
4/30/2026 7:57:57,25-30,Suburban,Atheist/Naturalist,Work,None,2,Female,Female,Undergraduate,50-70K,Upper middle class,University of Washington,4,2,3,3,4,2,2,2,4,2,3,2,3,4,4,3,4,1,4,4,2,3,2,2,3,3,4,2,3,3,4,4,4,3,2,4,4,2,4,2,3,4,3,4,Strong belief,Not at all,Slight belief,Strong belief,Moderate belief,2,2,2,2,No,Never
4/30/2026 8:00:10,25-30,Near large bodies of water/Nature,Religious/Theistic,Extracurricular Activities,"Regular Immersion in Nature, None",6+,Female,Female,High school Diploma,100K+,Middle class,None,5,5,5,4,4,5,5,3,5,3,3,3,3,4,4,4,4,2,3,3,2,4,3,3,4,5,5,4,4,4,3,4,5,5,3,3,3,4,4,3,3,4,3,3,Strong belief,Moderate belief,Strong belief,Strong belief,Strong belief,3,3,4,4,Not Sure,Sometimes
4/30/2026 8:34:43,25-30,Suburban,Spiritual but not Religious,Work,None,1,Female,Other,AA,50-70K,Low middle class,South Seattle College ,5,4,3,5,3,4,4,3,4,4,2,3,3,4,4,4,4,1,3,4,2,3,2,4,3,3,4,3,4,4,3,3,4,3,2,4,4,2,4,2,3,4,3,3,Moderate belief,Moderate belief,Slight belief,Strong belief,Moderate belief,3,3,4,4,No,Rarely
4/30/2026 8:37:52,22-24,Suburban,Religious/Theistic,Work,Regular Immersion in Nature,3-5,Male,Male,Graduate,70-90K,Middle class,University of Washington,3,4,4,4,4,1,2,2,2,2,3,2,3,3,4,2,3,3,4,5,1,4,4,4,4,4,5,1,3,4,2,3,4,4,4,4,3,5,5,4,1,5,3,4,Strong belief,Not at all,Very strong belief,Very strong belief,Strong belief,3,3,3,5,Yes,Sometimes
4/30/2026 9:04:22,25-30,Highly urban,Spiritual but not Religious,Work,None,3-5,Female,Female,Undergraduate,70-90K,Low middle class,University of Washington,5,5,5,5,5,1,4,1,5,3,5,1,3,5,4,2,2,4,3,5,1,3,1,5,5,5,5,2,5,5,2,1,5,4,3,5,5,2,1,1,3,5,2,5,Moderate belief,Slight belief,Slight belief,Strong belief,Very strong belief,3,2,3,5,Not Sure,Rarely
4/30/2026 19:23:50,25-30,Suburban,Atheist/Naturalist,Work,None,3-5,Female,Female,Graduate,100K+,Low middle class,Washington state University ,5,3,5,3,4,1,4,1,2,3,2,2,3,4,4,4,4,1,3,2,1,,2,4,3,2,3,2,2,3,3,3,4,3,3,3,4,1,2,1,5,3,1,1,Slight belief,Not at all,Not at all,Slight belief,Slight belief,1,2,1,4,Yes,Rarely
4/30/2026 20:22:34,25-30,Highly urban,Atheist/Naturalist,Work,Regular Immersion in Nature,1,Female,Female,Undergraduate,70-90K,Middle class,University of Washington,4,4,4,4,4,3,4,3,4,3,3,2,3,4,4,4,4,2,3,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,1,5,5,2,3,Moderate belief,Slight belief,Slight belief,Moderate belief,Slight belief,3,3,4,4,Yes,Often
